Person_ID,Reporter_Name,Outlet_Name,Outlet_URL,Outlet_ID,Circulation
1066,Perry Stern,JDPower.com,https://www.jdpower.com/,1933,"422,287"
1066,Perry Stern,TrueCar.com,https://www.truecar.com/,2335,"3,957,012"
1076,Keith Turner,Youtube.com,https://www.youtube.com/@carguydrives1178,1833,"32,600"
1111,Jerold Smith,"Parts & People, Northwest Motor Edition",,1578,"10,980"
1126,Basem Wasef,Automobile Magazine,https://www.automobilemag.com/,1338,"413,112"
1126,Basem Wasef,Forbes,https://www.forbes.com/wheels,1498,"10,000"
1126,Basem Wasef,Robb Report,https://robbreport.com/,1203,"2,136,005"
1129,Jon Alain Guzik,Hollywood Reporter , ,1298,"24,000,000"
1129,Jon Alain Guzik,Automobile Magazine, ,22,"1,900,000"
1131,Mark Fulmer,The Auto Channel, ,2080,"13,989"
1134,Jeffrey Weidel,Roseville Today,,5075,"106,000"
1134,Jeffrey Weidel,TahoeSkiWorld.com,,3772,"26,000"
1145,Matt Stone,MattStoneCars.com,https://mattstonecars.com,4227,"2,790"
1148,Steven Kursar,Fort Bend Focus Magazine,http://www.fortbendfocus.com/,3888,"25,000"
1155,Frank Washington,AboutThatCar.com,http://aboutthatcar.com,1874,500
1161,David Welch,Bloomberg,https://www.bloomberg.com/businessweek,1643,"10,545,978"
1167,Mike Vieira,SCORE,https://score-international.com/,6517,"1,800,000"
1169,Howard Walker,Dupontregistrytampabay.com,https://dupontregistrytampabay.com/,5814,"31,000"
1169,Howard Walker,Palmbeachillustrated.com,https://www.palmbeachillustrated.com/,5623,"32,391"
1169,Howard Walker,Naplesillustraded.com,https://www.naplesillustrated.com/,5834,"28,950"
1169,Howard Walker,Fort Lauderdale Illustrated,https://fortlauderdaleillustrated.com/,5985,"24,500"
1193,Sam Fiorani,Auto Forecast Solutions,https://www.autoforecastsolutions.com/,5680,"3,990"
1214,David Finkelstein,Community News Publishing,https://mycnews.com/,5683,"100,165"
1214,David Finkelstein,realtalk933.com,https://realtalk933.com/shows/automotive-insight-car-show/,6221,"60,000,000"
1214,David Finkelstein,missourinet.com,https://www.missourinet.com/,6524,1
1221,Kelly Foss,Cardata.com,http://car-data.com,1808,"6,020"
1232,Scott Oldham,Autobytel.com,http://www.autobytel.com/,1351,"445,109"
1232,Scott Oldham,Hagerty.com,https://www.hagerty.com/,3585,"375,791"
1232,Scott Oldham,Car and Driver,https://www.caranddriver.com,26,"1,212,174"
1247,John Vincent,US News & World Report ,https://www.usnews.com/,1912,"28,928,727"
1247,John Vincent,Twitter,https://twitter.com/OregonsCarGuy,3043,515
1252,Mark Williams,pickuptrucks.com,http://www.pickuptrucks.com/,1934,"78,546"
1267,Tom Murphy,WardsAuto.com,http://www.wardsauto.com,1425,"68,818"
1267,Tom Murphy,AutoWeek (print + www),	http://www.autoweek.com/,4176,"291,621"
1267,Tom Murphy,Instagram,https://www.instagram.com/autoweekusa/,6353,"17,100"
1280,Ali Arsham,Davis Enterprise,http://www.davisenterprise.com/,563,"5,566"
1280,Ali Arsham,Autoracing1.com,https://www.autoracing1.com/pl/author/ali-2/,2195,"5,000"
1280,Ali Arsham,Youtube.com,https://www.youtube.com/channel/UCyvIGVprhvUIfupusMveG_Q/featured,1833,100
1296,Greg Morrison,Youtube.com,https://www.youtube.com/channel/UCrk5xzAnWUZnGorZfJF2SDQ,1833,"20,200"
1296,Greg Morrison,The Atlanta Voice,http://www.theatlantavoice.com,5655,"96,049"
1296,Greg Morrison,Atlanta Tribune: The Magazine,https://atlantatribune.com/,1527,"3,963"
1296,Greg Morrison,cars-data.com,https://www.cars-data.com/,5656,"48,230"
1296,Greg Morrison,Instagram,https://www.instagram.com/griotgreg/?hl=en,3095,365
1310,Mark Glover,Twitter,https://twitter.com/markhglover,3043,369
1310,Mark Glover,msn.com,https://www.msn.com,2497,"171,677,152"
1310,Mark Glover,mercurynews.com,https://mercurynews.com,1822,"6,298,343"
1310,Mark Glover,AutoGlo,http://autoglo.blogspot.com,2436,"1,000"
1310,Mark Glover,Cruisin' News,http://www.cruisinnews.com/,2780,"10,000"
1320,Paul Kaminski,Radio Road Test,http://msrpk.com/listener.html,5415,"1,111"
1343,Michele Brooke,The Examiner,http://www.theexaminer.com,3896,"33,286"
1353,Marty Padgett,The Car Connection,https://www.thecarconnection.com/,1283,"579,226"
1353,Marty Padgett,Motor Authority,http://www.motorauthority.com,1302,"240,055"
1353,Marty Padgett,MensHealth.com,http://www.menshealth.com,2141,"1,816,878"
1353,Marty Padgett,Details Magazine,http://www.details.com,5657,"1,189,027"
1353,Marty Padgett,AutoWeek,http://www.autoweek.com,23,"291,621"
1353,Marty Padgett,Import Tuner,http://www.superstreetonline.com/import-tuner-magazine,40,"92,910"
1357,John Gilbert,newcarpicks.com,http://newcarpicks.com/site/,3837,"2,160"
1357,John Gilbert,Duluthreader.com,http://duluthreader.com/contributors/j/07/7_john_gilbert,4088,"15,390"
1369,Sam Mitani,GT Channel, ,2613,"20,000,000"
1370,Michael Frank,Cool Hunting,https://coolhunting.com/,5713,"68,809"
1370,Michael Frank,Topspeed.com,https://www.topspeed.com/,1801,"2,446,146"
1370,Michael Frank,Robb Report,https://robbreport.com/,1203,"119,355,000"
1372,Jack Nerad,Autobytel.com,http://www.autobytel.com/,1351,"529,074"
1372,Jack Nerad,Car and Driver,http://www.caranddriver.com/,26,"16,010,228"
1372,Jack Nerad,Collier Auto Media,https://CollierAutoMedia.com,5950,100
1372,Jack Nerad,Forbes,https://www.forbes.com/,1498,"126,450,000"
1372,Jack Nerad,Youtube.com,hhttps://youtube.com/,1833,"10,000"
1372,Jack Nerad,Amazon.com,https://music.amazon.com/podcasts/ff43d138-b444-475a-b9e1-c56639d35d34/america-on-the-road,3425,"10,000"
1372,Jack Nerad,TrueCar.com,https://www.truecar.com,2335,"50,000"
